##,2004,2008,2013,2018,state,constituency_s,malay_voter_ratio,non_malay_voter_ratio
P203,BN-PBDS,BN-PRS,BN-PRS,IND,Sarawak,Lubok Antu,18,82
P204,BN-PBB,BN-PBB,BN-PBB,BN-PBB,Sarawak,Betong,50,50
P205,BN-SPDP,BN-SPDP,BN-SPDP,PH-PKR,Sarawak,Saratok,44,56
P206,BN-PBB,BN-PBB,BN-PBB,BN-PBB,Sarawak,Tanjong Manis,74,25
P207,BN-SUPP,BN-PBB,BN-PBB,BN-PBB,Sarawak,Igan,81,19
P208,BN-PBDS,BN-SUPP,PR-DAP,PH-DAP,Sarawak,Sarikei,11,89
P209,BN-PBDS,BN-PRS,BN-PRS,IND,Sarawak,Julau,12,88
P210,BN-SUPP,BN-PRS,BN-PRS,BN-PRS,Sarawak,Kanowit,16,84
P211,BN-SUPP,BN-SUPP,PR-DAP,PH-DAP,Sarawak,Lanang,10,90
P212,BN-PBB,BN-SUPP,PR-DAP,PH-DAP,Sarawak,Sibu,20,80
P213,BN-PBDS,BN-PBB,BN-PBB,BN-PBB,Sarawak,Mukah,75,26
P214,BN-PBB,BN-PRS,BN-PRS,PH-PKR,Sarawak,Selangau,13,87
P215,BN-PBDS,BN-PBB,BN-PBB,BN-PBB,Sarawak,Kapit,22,78
P216,BN-SPDP,BN-PRS,BN-PRS,BN-PRS,Sarawak,Hulu Rajang,20,79
P217,BN-SUPP,BN-SPDP,BN-SPDP,BN-PDP,Sarawak,Bintulu,29,72
P218,BN-SPDP,BN-PBB,BN-PBB,BN-PBB,Sarawak,Sibuti,33,66
P219,BN-PBB,BN-SUPP,PR-PKR,PH-PKR,Sarawak,Miri,26,74
P220,,BN-SPDP,BN-SPDP,BN-PDP,Sarawak,Baram,21,79
P221,,BN-PBB,BN-PBB,BN-PBB,Sarawak,Limbang,45,54
P222,,BN-PBB,BN-PBB,BN-PBB,Sarawak,Lawas,43,57
